PWK	C57	AJ	129	WSB	CAS	NZO	NOD
1	0.7	0.2	0.7	0.78	1.24	0.81	0.82	1.09
2	0.57	0.2	0.37	0.96	1.28	0.68	1.43	1.02
3	0.93	0.32	0.89	0.81	1.17	0.93	0.98	0.88
4	1.38	2.23	1.02	1.31	1.24	2.45	1.7	1.02
5	1.48	2.22	2.04	2.36	0.9	0.9	2.65	1
6	0.78	0.42	0.72	0.71	1.34	1.38	0.43	0.95
7	3.35	0.43	0.93	1.12	0.96	1.33	1.61	1.11
8	1.13	2.13	1.77	1.73	0.91	0.9	2.06	0.72
9	1.27	2.03	1.15	1.05	1.07	1.04	1.46	0.99
10	0.98	2	1.67	2.46	0.42	0.62	2.38	1.11
11	1.28	1.92	1.03	1.05	1.21	0.95	0.76	1.17
12	0.96	0.5	1.08	0.95	0.96	1.11	0.79	0.99
13	1.03	1.82	1.14	1.24	0.9	0.95	1.42	1.47
14	0.98	0.53	0.66	0.88	0.42	0.96	0.89	1.15
15	0.94	1.8	1.46	0.56	1.97	2	0.41	0.99
16	0.79	0.54	0.67	1.18	0.54	0.57	1.78	0.88
17	1.6	1.76	1.06	1.3	0.93	1.3	1.4	0.91
18	0.82	1.75	0.58	0.58	1.51	1.05	0.81	0.67
19	1.14	1.72	1.03	0.91	0.97	1.19	0.88	1.22
20	1.58	1.69	1.12	1.73	1.04	1.01	1.21	1
21	1	0.58	0.93	1.05	0.89	1.26	1.06	0.9
22	1.41	1.66	1.74	2.05	0.49	0.66	2.24	1.28
23	1.48	1.62	1.66	1.57	0.94	0.88	1.44	1.21
24	1.11	1.6	1.04	1.19	1.09	0.94	0.95	1.41
25	1.43	0.62	1.1	1.06	0.66	0.68	0.75	1.61
26	1.42	1.57	1.7	1.96	0.47	0.66	2.18	1.27
27	0.87	1.54	1.04	0.67	0.76	0.88	0.82	0.91
28	0.94	0.64	0.98	1	0.94	1.06	0.96	1.01
29	1.38	1.54	1.16	1.4	0.92	0.76	1.32	1.2
30	0.74	1.53	0.81	0.86	0.87	1.1	0.78	1
31	1.53	1.53	1.23	1.24	0.82	1.17	1.62	1.16
32	0.99	0.64	1.11	1	0.92	0.78	1.18	1
33	1.65	1.51	1.59	1.82	1.3	1.18	1.39	1.14
34	1.4	1.5	1.62	1.88	0.48	0.66	2.13	1.24
35	0.78	0.66	0.73	0.86	0.99	0.84	0.45	0.9
36	0.9	1.49	1.47	0.88	1.59	0.85	0.78	1.14
