	F6_M_PWK	F6_F_PWK	F7_M_PWK	F10_F_PWK	F6_F_C57	F9_F_C57	F9_M_C57	F10_M_C57	F6_F_AJ	F7_M_AJ	F9_F_AJ	F9_M_AJ	F6_M_129	F7_M_129	F7_F_129	F10_F_129	F6_F_WSB	F9_M_WSB	F10_F_WSB	F10_M_WSB	F6_F_CAS	F7_M_CAS	F10_F_CAS	F10_M_CAS	F6_M_NZO	F7_F_NZO	F9_M_NZO	F10_F_NZO	F7_M_NOD	F7_F_NOD	F9_M_NOD	F9_F_NOD
Myh4	0.824987779	0.867302738	0.484411258	1.003386364	0.767199847	10.72446743	1.409363997	0.853977323	0.975096323	0.59329221	0.781066341	0.634230596	0.70239358	0.540523304	0.63212905	0.962826337	0.659792712	0.909524143	0.941807432	1.076176931	0.977061068	0.604784375	1.041356586	1.022478519	0.66426401	0.560635162	0.767017971	1.180016173	0.612098327	0.573831988	0.939577181	0.843248137
Myh8	0.906692202	0.858905705	0.226956149	1.135528483	0.769244179	11.72497829	1.433887079	1.059551384	0.859399824	0.23302319	0.713551325	0.342224818	0.918896381	0.248125607	0.254584511	0.96482345	0.694447293	0.938524204	0.872238424	1.074017735	1.003860256	0.234262056	1.043273028	1.157432604	1.101428034	0.233509733	0.826249735	1.116230529	0.262405865	0.266750182	0.754377609	0.734837575
Tnnt1	1.355228382	1.282240443	1.302356226	1.573194668	0.555097944	5.699572353	1.116329369	0.856161634	0.584965699	0.624225448	0.893168171	0.694295302	0.48911178	0.660880134	0.547986945	0.866885439	0.474265466	0.701506048	0.838904444	0.830058299	1.012316954	0.996867074	1.118268731	0.979464283	0.847714642	0.799279789	0.798506803	0.883558822	0.551187376	0.768973608	0.854875999	0.822910339
Serpina3n	0.965015159	0.903278877	1.296251532	0.734985886	0.719355405	0.759197094	1.127876131	2.162824018	0.732026184	0.840554051	0.93368734	0.86271486	0.959542825	0.890495964	0.668607657	0.744974295	0.526611821	0.638595895	0.580845893	0.733408881	0.674552603	1.677555768	0.700324203	1.694958942	1.841895677	1.108805327	1.556271216	0.886155272	1.363726325	1.317318043	0.884211504	0.894658075
Hba.a1	0.538705696	1.059154898	2.117386833	0.734965916	0.565363513	0.581863915	1.858326735	0.687442212	0.634674351	2.241453641	0.750214455	0.580194596	1.093897841	2.726241019	0.668341396	0.953299569	1.349010397	1.162670312	0.669072304	0.644065931	0.67342736	0.762666074	0.839601675	0.591671989	0.671544269	0.880746393	2.610265823	0.358583537	0.987828069	0.793475651	0.774679938	0.971133442
Myh2	0.636538762	0.6609045	0.787026979	1.155698448	0.331008643	4.18607812	0.800855696	1.115021857	1.073533485	0.819301171	0.885775541	0.596719912	0.51162282	0.867902246	0.930761225	1.019136479	0.331184823	0.769386158	1.044462755	1.079971461	0.62151968	1.065102171	0.921305713	1.062773201	0.318565088	0.953838641	0.5593406	1.106875766	0.987480402	1.013495397	0.662067593	0.727467523
Tpm2	0.440746973	0.029864843	1.047718786	0.414080382	0.625432825	2.406684048	0.709815905	0.581676479	0.783684613	0.81351365	0.705791245	0.573567829	0.323020423	0.712205394	0.644017136	0.281852225	0.359938562	0.447539823	0.40778274	0.287181477	0.707645019	1.581165955	0.852068997	0.500761244	4.33420137	2.209291639	3.630780299	2.741732329	1.360046003	1.089857891	0.946798966	0.997452825
Hbb.bs	0.496122966	0.916984147	1.269008527	0.646174177	0.633651841	0.702425282	1.825533729	1.014205253	0.528643573	1.562116948	0.715380989	0.636913062	0.763626209	1.379922468	0.548649318	0.693829257	1.082375991	0.99582428	0.676690616	0.602787746	0.59569631	0.658433583	0.76541579	0.560054418	0.793981896	1.059743965	2.349439877	0.469059922	1.21875644	1.025521053	0.960076295	1.986400411
Atp2a2	1.052638108	0.916774993	1.312103796	0.950800915	0.870556283	0.906800464	1.151083062	2.455049306	0.944565269	1.097582973	0.864199695	0.976493787	0.94214993	0.884002384	0.936909144	0.808353756	0.7887822	0.928230854	0.870024151	0.841103085	0.839530704	0.852006822	0.800008267	0.848732869	0.882551301	0.820304319	1.41163952	0.749012063	0.986297288	0.99674737	0.969775351	0.980983912
Serpinf2	0.421203958	0.586262346	0.909096597	0.777399849	0.793594633	0.8782095	2.646937749	0.694866294	0.312286714	1.008630611	0.704014876	0.693371907	1.231336567	1.918875597	0.4654132	0.81331549	2.726519378	0.954628426	0.884686983	0.549914874	1.339901879	0.650119469	0.803693971	0.6739393	0.562282248	0.647292803	2.75297317	0.746060397	1.970521567	2.243630217	1.196068571	0.612393282
Acads	0.815048943	0.649149804	1.006794203	0.777891322	0.849340762	0.818528241	1.238442039	1.965832713	0.844774661	0.977489097	0.970980135	0.888642395	0.853292454	1.075007289	0.931127085	0.903058554	0.827139791	1.074902034	0.85411669	0.954770528	0.832188634	0.822462145	0.752442676	0.684232438	1.122578502	1.705089475	1.000277527	1.074017801	1.0853337	0.891357308	1.207965085	1.073840929
Gpx3	0.650168553	0.660341691	0.832327835	0.887183249	0.893872216	2.758436656	1.025951466	0.812725213	0.755519347	0.860254717	0.805920211	0.828856354	0.893262713	0.861232744	0.897175934	0.949724823	1.225946201	1.29300076	1.120336594	0.96077573	0.854499425	0.983389688	0.932687073	1.002530405	1.003607806	0.957454024	0.80888341	1.324887176	0.905357396	0.825279845	0.992306527	1.085585224
Kng1	0.815264029	0.926318792	1.183137882	1.008072123	0.829662225	0.711615389	1.921599091	0.876600444	0.70973798	0.997595991	0.754448417	0.676439686	0.961787918	1.23838074	0.661754092	1.113704178	1.035306963	0.774417208	0.963190825	1.019104669	1.038455759	0.920684686	1.033735367	1.038460707	0.778318336	0.993847679	2.311745495	1.188249841	2.054024021	1.584024605	1.250526996	0.660781078
Lamc1	1.454181897	1.344965856	1.603062519	1.760208333	0.459748614	0.077266326	0.066966764	0.218724272	0.405807423	0.228963572	0.081137754	0.094170276	1.628801535	1.915376616	2.048859343	1.97549684	0.387936676	0.076833974	0.232130792	0.185162127	1.50121533	1.608957316	2.032847358	1.786438426	1.500087562	1.83489293	2.015892186	2.124478347	0.243810262	0.218509041	0.100250233	0.08188071
Trio	6.625930865	6.96556978	0.962716168	1.091318019	0.184113488	0.923541531	0.933430399	1.062269914	0.090212724	0.900978235	1.052763452	0.77278071	0.138383181	1.014181219	1.079086967	0.992882487	0.105500484	1.02734082	1.04679599	1.245688323	0.040407475	1.313980225	1.174960672	1.1121666	0.046207062	1.098625013	0.875911357	1.176174747	1.309119595	1.11379247	0.994986501	1.206054617
Gm9774	1.92664471	2.65820348	0.97801716	1.02128634	2.294232319	1.047933248	0.913030504	0.893632488	2.342588152	1.083596235	0.970397405	1.119610796	1.997548498	0.906323571	1.209100765	1.260702711	3.038084244	1.003260328	1.046134845	1.186409441	2.630579992	1.093758856	1.191577552	1.070041844	2.377264755	0.931008538	0.969795865	0.946128956	1.0514419	1.10522818	0.988353833	1.211883811
