PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Myh4	-0.51	-2.34	-0.52	-0.36	0.31	-0.31	-0.28	0.13
Myh8	-0.82	-2.33	-1.45	-0.06	0.36	-0.56	0.51	0.02
Tnnt1	-0.1	-1.66	-0.16	-0.3	0.22	-0.11	-0.03	-0.18
Serpina3n	0.46	1.15	0.03	0.39	0.31	1.29	0.77	0.02
Hba.a1	0.57	1.15	1.03	1.24	-0.16	-0.16	1.4	0
Myh2	-0.35	-1.24	-0.47	-0.5	0.43	0.46	-1.23	-0.08
Tpm2	1.75	-1.23	-0.1	0.16	-0.06	0.42	0.69	0.14
Hbb.bs	0.18	1.09	0.82	0.79	-0.14	-0.16	1.04	-0.47
Atp2a2	0.34	1.02	0.2	0.07	0.09	0.05	0.55	-0.02
Serpinf2	-0.04	1	0.74	1.3	-1.26	-0.7	1.25	0.15
Acads	0.35	0.94	0.04	0.07	0.27	-0.07	-0.39	0.22
Gpx3	-0.06	-0.99	0.11	-0.07	-0.06	0.15	-0.33	-0.01
Kng1	0.05	0.86	0.19	0.31	-0.16	-0.08	0.5	0.56
Lamc1	-0.02	-0.91	-0.59	-0.18	-1.24	-0.06	-0.17	0.2
Trio	-0.09	0.85	0.55	-0.85	0.98	1	-1.3	-0.01
Gm9774	-0.34	-0.89	-0.59	0.23	-0.9	-0.82	0.83	-0.18
Igkv1.88	0.68	0.81	0.09	0.38	-0.11	0.37	0.49	-0.14
Rab10	-0.29	0.81	-0.8	-0.79	0.6	0.06	-0.31	-0.59
Suclg1	0.19	0.78	0.04	-0.13	-0.04	0.26	-0.18	0.28
Acot13	0.66	0.76	0.16	0.79	0.05	0.01	0.27	0.01
C3	0	-0.78	-0.1	0.07	-0.16	0.34	0.08	-0.16
Fga	0.5	0.73	0.8	1.04	-1.03	-0.6	1.16	0.35
Serpina3k	0.56	0.69	0.73	0.65	-0.09	-0.18	0.52	0.28
Pxdn	0.15	0.68	0.06	0.26	0.13	-0.08	-0.08	0.5
Ptma	0.51	-0.7	0.14	0.08	-0.6	-0.56	-0.41	0.68
Fgg	0.51	0.65	0.77	0.97	-1.08	-0.61	1.13	0.35
Prdm2	-0.21	0.62	0.06	-0.58	-0.4	-0.18	-0.29	-0.13
Golga3	-0.09	-0.65	-0.03	0.01	-0.08	0.08	-0.06	0.01
Srl	0.46	0.62	0.21	0.48	-0.12	-0.4	0.4	0.27
Nebl	-0.43	0.62	-0.3	-0.21	-0.21	0.14	-0.37	-0.01
Mccc2	0.61	0.61	0.3	0.32	-0.29	0.22	0.69	0.21
Vcp	-0.02	-0.64	0.16	0	-0.12	-0.35	0.24	0
Serpina1c	0.72	0.59	0.67	0.86	0.38	0.24	0.47	0.19
Fgb	0.48	0.58	0.7	0.91	-1.06	-0.6	1.09	0.31
Sars	-0.35	-0.6	-0.46	-0.22	-0.02	-0.26	-1.15	-0.15
Plekho1	-0.16	0.57	0.55	-0.18	0.67	-0.23	-0.35	0.19
Apobec2	-0.24	0.56	0.26	0.16	0.57	0.03	0.08	-0.53
Ecm1	0.1	0.56	-0.02	0.34	-0.61	-0.39	0.69	0.06
Hk2	-0.49	-0.57	0.14	0.08	0.03	-0.48	-0.13	-0.32
Mccc1	0.32	0.54	0.24	0.43	-0.14	0.01	0.49	0.13
Ifi204	0.21	0.53	0.03	-0.07	0.15	0.39	0.01	-0.1
Gapdh	0.22	0.53	-0.12	0.04	0.35	0.69	-0.08	-0.24
Echs1	0.24	-0.54	-0.01	-0.05	-0.06	-0.48	-0.84	0.01
Tuba4a	0.36	-0.53	0.08	-0.02	-0.4	-0.12	-0.18	0.27
Ighg2b	0.66	0.51	0.49	0.18	0.62	0.97	0.01	-0.17
Ralgapa2	-0.31	0.5	-0.08	-0.22	0.01	0.34	-0.41	0.06
Sdhb	0.62	0.5	0.55	0.87	0.05	-0.28	1.89	-0.16
Slc25a40	-0.16	-0.5	-0.36	0.02	-0.24	-0.26	0.16	-0.02
Top3b	-0.03	0.49	0.11	0.05	0.05	0.03	0.07	-0.01
Fis1	0.44	0.49	0.37	0.37	0.29	-0.19	1.03	-0.16
Npepl1	0.11	-0.49	0.24	0.65	-0.39	-0.4	0.33	0.04
Bcat2	-0.08	0.48	0.19	0.06	-0.54	-0.46	-0.15	0.23
Slc25a3	0.09	-0.49	-0.07	-0.2	-0.05	0.14	-0.17	0.1
Zeb2	-0.47	0.48	-0.06	-0.58	0.04	0.18	-0.46	0.01
Tppp3	0.01	-0.49	-0.11	0.15	-0.01	-0.64	-0.66	-0.12
Cnot1	0.27	-0.48	0.06	0.18	0.01	0.03	-0.05	0.17
Sdhc	0.56	0.46	0.53	0.76	0.25	-0.24	1.5	-0.04
Reep5	0.38	0.46	0.24	0.33	0.13	-0.16	1.05	-0.08
Gpx4	0.09	-0.47	0.03	0.17	0.12	0.12	-0.05	-0.06
Ahnak2	-0.09	-0.47	-0.12	-0.23	-0.31	-0.04	0.22	0
S100a10	-0.03	-0.47	0.1	-0.23	0.09	0.04	0.21	-0.06
Sdha	0.55	0.46	0.47	0.82	-0.03	-0.22	1.65	-0.15
Ndufv3	-0.32	-0.46	0.37	0.52	-0.2	-0.53	1.54	-0.36
Serpina3m	0.37	0.44	0.37	0.37	0.03	0.08	0.38	0.13
Ankrd11	0.05	-0.44	-0.79	0.01	0.33	0.56	-0.69	0.08
Dpf3	0.08	0.43	-0.64	-0.83	0.24	0.26	-0.69	0.02
Tmod4	0.13	0.43	0.17	0.22	0.04	-0.09	-0.09	0.08
Hk1	-0.3	-0.43	-0.05	0.07	-0.06	-0.32	-0.13	-0.18
Igkc	0.65	0.42	0.14	0.71	0.43	0.4	0.87	-0.22
Myl1	0.2	-0.42	-0.39	0.17	-0.1	-0.12	-0.32	0.12
Ldb3	0.14	0.42	0.26	0.06	0.35	0.27	-0.07	0.13
Zbed5	-0.13	0.42	0.1	0.08	-0.44	0.12	0.01	0.11
Pzp	0.19	0.42	0.69	1.1	-0.57	-0.29	0.83	0.23
Mpc1	-0.02	-0.42	0.11	0.25	0.01	-0.12	0.03	0.03
Hdac6	-0.27	0.42	-0.1	-0.21	0.32	0.31	0.16	0.16
Rdh14	-0.15	-0.41	0.32	0.51	-0.12	-0.3	0.37	0.16
Tubb4b	0.2	-0.41	0.1	-0.04	-0.32	-0.08	-0.1	0.15
Acad8	0.14	0.41	0.13	0.37	0.13	0.55	-0.28	0.24
Vim	0.22	-0.41	-0.16	-0.16	-0.2	0.08	0.1	0.05
Ivd	0.26	0.41	-0.02	0.21	-0.18	-0.35	-0.14	0.35
Cyb5a	0.16	0.4	0.41	0.5	0.18	0.13	1.07	-0.31
Acadvl	0.16	-0.39	-0.16	-0.4	-0.05	-0.18	-0.42	0.08
Ngp	-0.08	0.39	-0.25	0.63	-0.33	1.09	1.06	0.1
Canx	0.42	0.39	0.59	0.01	-0.03	-0.21	0.98	-0.12
Plekha5	-0.47	0.39	-0.53	-0.45	0.25	0.01	-0.57	-0.39
Cltb	-0.04	-0.38	-0.04	-0.02	0	-0.22	0.61	-0.08
Idh3b	0.45	0.39	0.14	0.14	-0.02	0.14	0.24	0.28
Alg9	0.05	0.39	0.21	-0.32	-0.15	0.36	-0.71	-0.24
Ank2	0.15	-0.38	0.3	-0.37	-0.38	0.02	-0.66	0.14
Erp29	0.27	0.38	0.36	0.54	0.07	-0.16	0.55	0.1
Ank3	0.19	0.38	-0.05	-0.11	-0.09	-0.07	0.15	-0.13
Shroom4	0.06	-0.37	-0.2	-0.16	-0.25	-0.3	-0.36	0.14
Taf15	-0.48	0.37	-0.07	-0.2	0.57	0.46	-0.48	0.02
Ndrg2	0.17	0.37	0.22	-0.11	-0.03	-0.06	0.3	-0.22
Trim3	0	-0.36	-0.46	0.28	-0.49	-0.29	0.23	0.01
Idh3g	0.81	0.36	0.35	0.69	-0.05	-0.26	0.3	0.44
Myl7	0.07	0.36	0.43	0.1	-0.44	-0.44	-0.11	0.28
Echdc3	0.18	-0.36	-0.05	0.15	-0.2	0.05	-0.16	-0.08
Mpc2	0.04	-0.35	0.03	0.08	0.03	0.05	-0.18	0.09
Slc25a1	0.04	-0.35	-0.07	-0.13	-0.25	-0.04	-0.33	0.11
Hdgfl2	-0.1	-0.35	-0.04	-0.19	-0.17	-0.08	-0.41	0.08
Hspg2	0.06	-0.35	-0.02	0.46	-0.01	-0.23	0.67	0.11
